calibre_id,title,authors,publisher,year,subjects,topic_tags,rating,formats,description
2,1 - A Wizard In Mind,A Wizard In Mind,,2011,,,,epub; mobi,
55,1 - A Wizard In Mind,A Wizard In Mind,,2011,,,,epub; lit,
3,Transgalactic,A. E. Van Vogt; Eric Flint; David Drake,Baen Books,2006,Science Fiction,fiction_sf; fiction_general; science_general,,epub; mobi,
56,Transgalactic,A. E. Van Vogt; Eric Flint; David Drake,Baen Books,2006,Science Fiction,fiction_sf; fiction_general; science_general,,epub; lit,
4,The Children's Book,A. S. Byatt,Vintage,2009,Fiction; Historical; General; Literary; Literary Criticism; Family Secrets; World War; 1914-1918; Bildungsromans; Rennette; Family Life; Women Authors; Parent and Child; World War; 1914-1918 - England; Women Authors; English; Children and Adults; Runaway Children; Country Homes - England; Children of the Rich; Country Homes,fiction_general; history,6,epub; mobi,"From Publishers Weekly Byatt's overstuffed latest wanders from Victorian 1895 through the end of WWI, alighting on subjects as diverse as puppetry, socialism, women's suffrage and the Boer War, and suffers from an unaccountably large cast. The narrative centers on two deeply troubled families of the British artistic intelligentsia: the Fludds and the Wellwoods. Olive Wellwood, the matriarch, is an…"
58,The Children's Book,A. S. Byatt,Vintage,2009,Fiction; Historical; General; Literary; Literary Criticism; Family Secrets; World War; 1914-1918; Bildungsromans; Rennette; Family Life; Women Authors; Parent and Child; World War; 1914-1918 - England; Women Authors; English; Children and Adults; Runaway Children; Country Homes - England; Children of the Rich; Country Homes,fiction_general; history,6,epub; lit,"From Publishers Weekly Byatt's overstuffed latest wanders from Victorian 1895 through the end of WWI, alighting on subjects as diverse as puppetry, socialism, women's suffrage and the Boer War, and suffers from an unaccountably large cast. The narrative centers on two deeply troubled families of the British artistic intelligentsia: the Fludds and the Wellwoods. Olive Wellwood, the matriarch, is an…"
3295,Snowdrops,A.D. Miller,Knopf Doubleday Publishing Group,2011,Rennette,,,epub; mobi,"An intense psychological drama that echoes sophisticated entertainments like Gorky Park and The Talented Mr. Ripley. Nick Platt is a British lawyer working in Moscow in the early 2000s--a place where the cascade of oil money, the tightening grip of the government, the jostling of the oligarchs, and the loosening of Soviet social mores have led to a culture where corruption, decadence, violence, an…"
59,Snowdrops,A.D. Miller,Knopf Doubleday Publishing Group,2011,Rennette,,,epub; lit,"An intense psychological drama that echoes sophisticated entertainments like Gorky Park and The Talented Mr. Ripley. Nick Platt is a British lawyer working in Moscow in the early 2000s--a place where the cascade of oil money, the tightening grip of the government, the jostling of the oligarchs, and the loosening of Soviet social mores have led to a culture where corruption, decadence, violence, an…"
3293,The Merchants of Venus,A.H. Phelps,,2010,,,,epub; mobi,
60,The Merchants of Venus,A.H. Phelps,,2010,,,,epub; lit,
3292,Doc Sidhe,Aaron Allston,Baen Publishing Enterprises,1995,Science Fiction,fiction_sf; fiction_general; science_general,,epub; mobi,
61,Doc Sidhe,Aaron Allston,Baen Publishing Enterprises,1995,Science Fiction,fiction_sf; fiction_general; science_general,,epub; lit,
3294,NJO - Enemy Lines 2: Rebel Stand,Aaron Allston,,2011,,,,epub; mobi,
62,NJO - Enemy Lines 2: Rebel Stand,Aaron Allston,,2011,,,,epub; lit,
3291,Cutting for Stone,Abraham Verghese,Vintage,2009,Fiction; Sagas; Literary; Physicians; Medical; Electronic Books; Orphans; Rennette; Fathers and sons; Ethiopia; Brothers; Twins; Bronx (New York; N.Y.),fiction_general,8,epub; mobi,"Amazon.com Review Amazon Exclusive: John Irving Reviews *Cutting for Stone * John Irving has been nominated for a National Book Award three times--winning once, in 1980, for the novel The World According to Garp . In 1992, Irving was inducted into the National Wrestling Hall of Fame in Stillwater, Oklahoma. In 2000, he won the Oscar for Best Adapted Screenplay for The Cider House Rules --a film wi…"
63,Cutting for Stone,Abraham Verghese,Vintage,2009,Fiction; Sagas; Literary; Physicians; Medical; Electronic Books; Orphans; Rennette; Fathers and sons; Ethiopia; Brothers; Twins; Bronx (New York; N.Y.),fiction_general,8,epub; lit,"Amazon.com Review Amazon Exclusive: John Irving Reviews *Cutting for Stone * John Irving has been nominated for a National Book Award three times--winning once, in 1980, for the novel The World According to Garp . In 1992, Irving was inducted into the National Wrestling Hall of Fame in Stillwater, Oklahoma. In 2000, he won the Oscar for Best Adapted Screenplay for The Cider House Rules --a film wi…"
3289,Robert B. Parker's Lullaby,Ace Atkins,Penguin Group US,2012,General; Mystery & Detective; Hard-Boiled; Fiction,fiction_general,,epub; mobi,"When fourteen-year-old Mattie Sullivan asks Spenser to look into her mother’s murder, he’s not completely convinced by her claim that the police investigation four years ago was botched. Mattie is gruff, street-smart, and wise beyond her years, left to care for her younger siblings and an alcoholic grandmother in a dilapidated apartment in South Boston. But her need for closure and her determinati…"
64,Robert B. Parker's Lullaby,Ace Atkins,Penguin Group US,2012,General; Mystery & Detective; Hard-Boiled; Fiction,fiction_general,,epub; lit; mobi,"When fourteen-year-old Mattie Sullivan asks Spenser to look into her mother’s murder, he’s not completely convinced by her claim that the police investigation four years ago was botched. Mattie is gruff, street-smart, and wise beyond her years, left to care for her younger siblings and an alcoholic grandmother in a dilapidated apartment in South Boston. But her need for closure and her determinati…"
3287,The Quickening Maze,Adam Foulds,Penguin,2009,Fiction; Historical Fiction; Historical; History; General; England; Mental Health; Rennette; London (England); Tennyson; Alfred Tennyson; Mentally Ill; London (England) - Social Conditions - 19th Century; Clare; John - Mental Health; Psychiatric Hospitals; Psychiatric Hospitals - England - London - History - 19th Century; Mentally Ill - Commitment and Detention - England - London - History - 19th Century; London; Commitment and Detention; Poets; English - 19th Century - Mental Health; Poets; English; 19th Century,psychology; fiction_general; history,,epub; mobi,"A visionary novel by ""one of the most talented writers of his generation"" (The Times Literary Supplement)-shortlisted for the Man Booker Prize Based on real events, The Quickening Maze won over UK critics and readers alike with its rapturous prose and vivid exploration of poetry and madness. Historically accurate yet brilliantly imagined, this is the debut publication of this elegant and riveting …"
